displayText,renderText,manifestKey,assetId,Fexisting,Mexisting,newF,newM,provenance
Vertreter/innen,Vertreter, Vertreterinnen,Vertreter/innen,3c42815cd1b52b03,NO,NO,YES,YES,AUTO
Aussteller/innen,Aussteller, Ausstellerinnen,Aussteller/innen,e9f2723f7e804d99,NO,NO,YES,YES,AUTO
Autofahrer/innen,Autofahrer, Autofahrerinnen,Autofahrer/innen,5bfc1b1d5c7a5317,NO,NO,YES,YES,AUTO
Berater/innen,Berater, Beraterinnen,Berater/innen,7c42de5ab77167b3,NO,NO,YES,YES,AUTO
Fischer/innen,Fischer, Fischerinnen,Fischer/innen,07f5cbf7fe879703,NO,NO,YES,YES,AUTO
Mitinhaber/innen,Mitinhaber, Mitinhaberinnen,Mitinhaber/innen,5e6154eac2110aab,NO,NO,YES,YES,AUTO
Mitschüler/innen,Mitschüler, Mitschülerinnen,Mitschüler/innen,accba6bb89b1e5c5,NO,NO,YES,YES,AUTO
Optiker/innen,Optiker, Optikerinnen,Optiker/innen,d29ce8726510024a,NO,NO,YES,YES,AUTO
Schwimmer/innen,Schwimmer, Schwimmerinnen,Schwimmer/innen,09e338ead141f975,NO,NO,YES,YES,AUTO
Berufsanfänger/innen,Berufsanfänger, Berufsanfängerinnen,Berufsanfänger/innen,a68ca039a36e34ce,NO,NO,YES,YES,AUTO
Veranstalter/innen,Veranstalter, Veranstalterinnen,Veranstalter/innen,d9f23846a08acde6,NO,NO,YES,YES,AUTO
Wissensmanager/innen,Wissensmanager, Wissensmanagerinnen,Wissensmanager/innen,2fedc3ff8bee115a,NO,NO,YES,YES,AUTO
Erfinder/innen,Erfinder, Erfinderinnen,Erfinder/innen,11a8ebd9099569f7,NO,NO,YES,YES,AUTO
Forscher/innen,Forscher, Forscherinnen,Forscher/innen,4d4e5ea262817fea,NO,NO,YES,YES,AUTO
Gewinner/innen,Gewinner, Gewinnerinnen,Gewinner/innen,71eeaaa6b3b6a703,NO,NO,YES,YES,AUTO
Kämpfer/innen,Kämpfer, Kämpferinnen,Kämpfer/innen,55eb23ad8f6f61a4,NO,NO,YES,YES,AUTO
Leiter/innen,Leiter, Leiterinnen,Leiter/innen,dfe5166382e94736,NO,NO,YES,YES,AUTO
Mediziner/innen,Mediziner, Medizinerinnen,Mediziner/innen,384fe0134df28c65,NO,NO,YES,YES,AUTO
Mitbewohner/innen,Mitbewohner, Mitbewohnerinnen,Mitbewohner/innen,af39ac68c5f0f953,NO,NO,YES,YES,AUTO
Physiker/innen,Physiker, Physikerinnen,Physiker/innen,62115b538c7f3b89,NO,NO,YES,YES,AUTO
Techniker/innen,Techniker, Technikerinnen,Techniker/innen,cc07e954a72c587c,NO,NO,YES,YES,AUTO
Verlierer/innen,Verlierer, Verliererinnen,Verlierer/innen,c5013d616cac6712,NO,NO,YES,YES,AUTO
Vermieter/innen,Vermieter, Vermieterinnen,Vermieter/innen,4443d6b784801763,NO,NO,YES,YES,AUTO
Allesfresser/innen,Allesfresser, Allesfresserinnen,Allesfresser/innen,ed9e337d9f380eaf,NO,NO,YES,YES,AUTO
Nobelpreisträger/innen,Nobelpreisträger, Nobelpreisträgerinnen,Nobelpreisträger/innen,110ec6adfa076fe1,NO,NO,YES,YES,AUTO
Anrufer/innen,Anrufer, Anruferinnen,Anrufer/innen,1ef602b86707ed96,NO,NO,YES,YES,AUTO
Kunstturner/innen,Kunstturner, Kunstturnerinnen,Kunstturner/innen,7a48b60ec6d33b1b,NO,NO,YES,YES,AUTO
Prüfer/innen,Prüfer, Prüferinnen,Prüfer/innen,bf838530167f1820,NO,NO,YES,YES,AUTO
Monoskibobfahrer/innen,Monoskibobfahrer, Monoskibobfahrerinnen,Monoskibobfahrer/innen,47afe9c9eaaa1065,NO,NO,YES,YES,AUTO
Polizeimeister/innen,Polizeimeister, Polizeimeisterinnen,Polizeimeister/innen,75be053329098a05,NO,NO,YES,YES,AUTO
